cinema_id,movie_id,booking_link
28,3389,https://ksa.voxcinemas.com/showtimes?c=atyaf-mall-riyadh&m=top-gun-maverick
28,3399,https://ksa.voxcinemas.com/showtimes?c=atyaf-mall-riyadh&m=vendetta
28,3383,https://ksa.voxcinemas.com/showtimes?c=atyaf-mall-riyadh&m=wahed-tany-arabic
36,3397,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=bhool-bhulaiyaa-2-hindi
36,3392,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=black-site
36,3395,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=el-ankaboot-arabic
36,3400,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=fantastic-beasts-the-secrets-of-dumbledore
36,3388,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=jujutsu-kaisen-0-the-movie-japanese
36,3393,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=memory
36,3396,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=random-act-of-violence
36,3398,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=room-203
36,3394,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=shark-bait
36,3391,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=sonic-the-hedgehog-2
36,3404,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=the-cellar
36,3386,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=the-last-victim
36,3384,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=the-northman
36,3389,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=top-gun-maverick
36,3399,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=vendetta
36,3383,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=wahed-tany-arabic
36,3390,https://ksa.voxcinemas.com/showtimes?c=tabuk-park-tabuk&m=zombie-ala-janbi-arabic
40,3397,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=bhool-bhulaiyaa-2-hindi
40,3392,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=black-site
40,3395,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=el-ankaboot-arabic
40,3400,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=fantastic-beasts-the-secrets-of-dumbledore
40,3385,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=firestarter
40,3403,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=gulliver-returns
40,3413,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=jack-n-jill-malayalam
40,3388,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=jujutsu-kaisen-0-the-movie-japanese
40,3393,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=memory
40,3398,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=room-203
40,3394,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=shark-bait
40,3391,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=sonic-the-hedgehog-2
40,3384,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=the-northman
40,3387,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=the-twin
40,3389,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=top-gun-maverick
40,3399,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=vendetta
40,3383,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=wahed-tany-arabic
40,3390,https://ksa.voxcinemas.com/showtimes?c=town-square-jeddah&m=zombie-ala-janbi-arabic
41,3397,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=bhool-bhulaiyaa-2-hindi
41,3392,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=black-site
41,3406,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=detective-conan-the-bride-of-shibuya-japanese
41,3395,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=el-ankaboot-arabic
41,3388,https://ksa.voxcinemas.com/showtimes?c=west-avenue-mall-dammam&m=jujutsu-kaisen-0-the-movie-japanese
