coming_soon_id,movie_id,cinema_name,release_date
1,3377,vox,2022-07-20 21:00:00+00:00
2,3377,amc,2022-07-20 21:00:00+00:00
3,3377,muvi,2022-07-20 21:00:00+00:00
4,3365,vox,2022-06-01 21:00:00+00:00
5,3365,amc,2022-06-01 21:00:00+00:00
6,3364,vox,2022-05-26 21:00:00+00:00
7,3367,vox,2022-06-01 21:00:00+00:00
8,3378,vox,2022-07-27 21:00:00+00:00
9,3378,amc,2022-07-27 21:00:00+00:00
10,3378,muvi,2022-07-27 21:00:00+00:00
11,3375,vox,2022-06-22 21:00:00+00:00
12,3375,amc,2022-06-22 21:00:00+00:00
13,3363,vox,2022-05-26 21:00:00+00:00
14,3363,muvi,2022-05-25 21:00:00+00:00
15,3357,vox,2022-05-25 21:00:00+00:00
16,3357,amc,2022-05-25 21:00:00+00:00
17,3357,muvi,2022-05-25 21:00:00+00:00
18,3368,vox,2022-06-01 21:00:00+00:00
19,3358,vox,2022-05-25 21:00:00+00:00
20,3372,vox,2022-06-08 21:00:00+00:00
21,3372,amc,2022-06-08 21:00:00+00:00
22,3362,vox,2022-05-26 21:00:00+00:00
23,3362,muvi,2022-05-26 21:00:00+00:00
24,3369,vox,2022-06-01 21:00:00+00:00
25,3382,muvi,2022-06-15 21:00:00+00:00
26,3366,vox,2022-06-01 21:00:00+00:00
27,3376,vox,2022-06-29 21:00:00+00:00
28,3376,amc,2022-06-29 21:00:00+00:00
29,3376,muvi,2022-06-29 21:00:00+00:00
30,3381,muvi,2022-05-30 21:00:00+00:00
31,3374,vox,2022-06-22 21:00:00+00:00
32,3371,vox,2022-06-02 21:00:00+00:00
33,3380,muvi,2022-07-13 21:00:00+00:00
34,3379,vox,2022-12-07 21:00:00+00:00
35,3379,amc,2022-09-21 21:00:00+00:00
36,3373,vox,2022-06-08 21:00:00+00:00
37,3373,amc,2022-05-25 21:00:00+00:00
39,3370,muvi,2022-06-23 21:00:00+00:00
40,3360,vox,2022-05-25 21:00:00+00:00
41,3361,vox,2022-05-25 21:00:00+00:00
42,3361,muvi,2022-05-25 21:00:00+00:00
43,3356,vox,2022-05-25 21:00:00+00:00
44,3359,vox,2022-05-25 21:00:00+00:00
45,3359,muvi,2022-05-25 21:00:00+00:00
