,genre_id,genre
0,1,Action
1,2,Adventure
2,3,Animation
3,4,Biography
4,5,Comedy
5,6,Crime
6,7,Documentary
7,8,Drama
8,9,Family
9,10,Fantasy
10,11,Film-Noir
11,12,History
12,13,Horror
13,14,Music
14,15,Musical
15,16,Mystery
16,17,Romance
17,18,Sci-Fi
18,19,Short
19,20,Sport
20,21,Thriller
21,22,War
22,23,Western
23,24,Concert
24,25,Education
25,26,Entertainment
26,27,Biographical
